,Número da Incrição,Notas
698,359.283-9,"56,50"
699,356.427-4,"53,50"
700,357.502-0,"73,50"
701,358.497-6,"52,00"
702,352.498-1,"59,50"
703,356.782-6,"52,00"
704,351.732-2,"54,50"
705,354.297-1,"52,50"
706,354.858-9,"70,00"
707,353.479-0,"50,00"
708,356.904-7,"60,00"
709,354.062-6,"71,50"
710,357.704-0,"51,00"
711,351.283-5,"51,00"
712,354.641-1,"50,00"
713,352.921-5,"58,00"
714,359.382-7,"51,50"
715,357.710-4,"56,50"
716,354.239-4,"61,00"
717,355.082-6,"52,00"
718,356.480-0,"64,00"
719,356.620-0,"51,00"
720,356.744-3,"52,00"
721,357.048-7,"52,00"
722,352.744-1,"62,00"
723,352.174-5,"71,00"
724,350.760-2,"54,00"
725,300.102-4,"53,50"
726,359.085-2,"55,50"
727,357.505-5,"63,00"
728,354.757-4,"50,50"
729,353.835-4,"72,00"
730,356.548-3,"53,50"
731,352.949-5,"69,00"
732,352.780-8,"59,50"
733,353.030-2,"78,00"
734,355.029-0,"67,50"
735,356.901-2,"51,50"
736,358.466-6,"53,00"
737,350.194-9,"54,50"
738,355.026-5,"70,00"
739,358.295-7,"69,00"
740,355.839-8,"54,50"
741,357.224-2,"67,50"
742,353.418-9,"50,50"
743,353.738-2,"56,00"
744,353.116-3,"52,00"
745,358.844-0,"50,00"
746,357.932-8,"56,50"
747,352.815-4,"66,00"
748,357.758-9,"62,00"
749,353.102-3,"83,50"
750,353.869-9,"53,00"
751,353.039-6,"79,00"
752,350.931-1,"54,00"
753,353.732-3,"50,00"
754,351.828-0,"62,00"
755,355.127-0,"54,50"
756,357.909-3,"60,50"
757,358.394-5,"67,00"
758,355.027-3,"57,00"
759,355.052-4,"82,00"
760,358.154-3,"50,50"
761,356.359-6,"55,00"
762,354.443-5,"65,00"
763,355.472-4,"63,00"
764,358.103-9,"54,50"
765,357.955-7,"51,00"
766,353.866-4,"60,00"
767,355.774-0,"51,00"
768,354.992-5,"55,50"
769,357.229-3,"50,50"
770,356.707-9,"68,00"
771,356.743-5,"64,50"
772,300.017-6,"56,00"
773,357.766-0,"51,50"
774,355.054-0,"53,00"
775,350.490-5,"50,50"
776,352.090-0,"54,00"
777,355.368-0,"59,00"
778,354.018-9,"52,00"
779,356.224-7,"51,50"
780,356.141-0,"71,00"
781,356.752-4,"55,50"
782,356.228-0,"61,00"
783,355.330-2,"51,00"
784,350.002-0,"55,00"
785,350.153-1,"52,50"
786,355.253-5,"59,50"
787,352.002-1,"56,00"
788,351.440-4,"51,50"
789,357.918-2,"50,50"
790,358.188-8,"56,50"
791,357.854-2,"54,00"
792,358.279-5,"50,50"
793,356.607-2,"58,00"
794,356.680-3,"53,00"
795,357.441-5,"72,00"
796,351.565-6,"53,50"
797,350.661-4,"55,50"
798,356.895-4,"51,00"
799,354.168-1,"57,00"
800,353.557-6,"53,00"
801,357.185-8,"78,00"
802,357.571-3,"58,50"
803,358.645-6,"57,00"
804,359.251-0,"64,00"
805,353.128-7,"50,50"
806,356.373-1,"56,00"
807,355.710-3,"60,00"
808,301.186-0,"57,50"
809,356.319-7,"62,00"
810,350.686-0,"54,50"
811,355.952-1,"54,00"
812,351.435-8,"51,00"
813,355.002-8,"61,50"
814,353.583-5,"69,50"
815,356.245-0,"60,50"
816,351.486-2,"50,00"
817,358.165-9,"50,50"
818,357.137-8,"62,50"
819,354.912-7,"53,50"
820,300.359-0,"60,50"
821,352.852-9,"54,00"
822,356.677-3,"60,00"
823,353.268-2,"75,50"
824,354.955-0,"62,50"
825,353.944-0,"79,50"
826,353.549-5,"61,00"
827,355.120-2,"59,50"
828,358.955-2,"72,50"
829,358.250-7,"56,50"
830,300.983-1,"58,00"
831,352.376-4,"78,00"
832,354.364-1,"71,50"
833,354.442-7,"62,50"
834,358.867-0,"54,50"
835,354.182-7,"59,00"
836,351.710-1,"50,50"
837,352.840-5,"64,00"
838,354.970-4,"52,00"
839,357.611-6,"52,00"
840,356.520-3,"50,00"
841,351.122-7,"52,50"
842,,"75,50"
